이	VCP	0.01828
있	VA	0.011699
하	VV	0.009774
것	NNB	0.009733
들	XSN	0.006898
그	MM	0.005327
되	VV	0.003613
수	NNB	0.003474
이	NP	0.003361
보	VX	0.00331
않	VX	0.002976
없	VA	0.00292
나	NP	0.00269
사람	NNG	0.002074
주	VV	0.001885
아니	VCN	0.001871
등	NNB	0.001822
같	VA	0.001725
우리	NP	0.001715
때	NNG	0.001686
년	NNB	0.001648
가	VV	0.001619
한	MM	0.001584
지	VX	0.001538
대하	VV	0.001504
오	VV	0.001491
말	NNG	0.001322
일	NNG	0.00124
그렇	VA	0.001232
위하	VV	0.001171
때문	NNB	0.001147
그것	NP	0.001099
두	VV	0.001063
말하	VV	0.001031
알	VV	0.000996
그러나	MAJ	0.000978
받	VV	0.000924
못하	VX	0.000905
일	NNB	0.00088
그런	MM	0.000879
또	MAG	0.000871
문제	NNG	0.000824
더	MAG	0.000802
사회	NNG	0.000793
많	VA	0.000789
그리고	MAJ	0.00078
좋	VA	0.000764
크	VA	0.000759
따르	VV	0.000738
중	NNB	0.000733
나오	VV	0.000725
가지	VV	0.00072
씨	NNB	0.00071
시키	XSV	0.000708
만들	VV	0.000704
지금	NNG	0.0007
생각하	VV	0.000695
그러	VV	0.000692
속	NNG	0.000685
하나	NR	0.000655
집	NNG	0.000649
살	VV	0.000648
모르	VV	0.000645
적	XSN	0.000643
월	NNB	0.000639
데	NNB	0.000636
자신	NNG	0.000632
안	MAG	0.000626
어떤	MM	0.000623
내	NP	0.000622
내	VV	0.000614
경우	NNG	0.000614
명	NNB	0.00061
생각	NNG	0.000587
시간	NNG	0.000573
그녀	NP	0.000572
다시	MAG	0.000556
이런	MM	0.00055
앞	NNG	0.000549
보이	VV	0.000543
번	NNB	0.000543
나	VX	0.000538
다른	MM	0.000536
어떻	VA	0.000533
여자	NNG	0.000532
개	NNB	0.00053
전	NNG	0.000529
들	VV	0.000515
사실	NNG	0.000512
이렇	VA	0.000512
점	NNG	0.000508
싶	VX	0.000505
말	VX	0.000504
정도	NNG	0.000496
좀	MAG	0.000493
원	NNB	0.000492
잘	MAG	0.000491
통하	VV	0.000487
소리	NNG	0.000486
놓	VX	0.000483
